week,date,ask,bid
Week 3,15-Apr-11,20788.82857,21043.27143
Week 4,22-Apr-11,20754.72857,20944.61429
Week 1,29-Apr-11,20435.15714,20820.77143
Week 2,6-May-11,20456.1,20809.61429
Week 3,13-May-11,20469.28571,20858.72857
Week 4,20-May-11,20537.48571,20986.14286
Week 1,27-May-11,20363.28571,20758.34286
Week 2,3-Jun-11,20400.65714,20703
Week 3,10-Jun-11,20396.54286,20817.81429
Week 4,17-Jun-11,20462.71429,20876.28571
Week 1,24-Jun-11,20483.22857,20671.2
Week 2,1-Jul-11,20400.44286,20743.68571
Week 3,8-Jul-11,20458.4,20743.62857
Week 4,15-Jul-11,20419.87143,20742.85714
Week 1,22-Jul-11,20458.92857,20714.32857
Week 2,29-Jul-11,20335.31429,20732.81429
Week 3,5-Aug-11,20394.14286,20909.91429
Week 4,12-Aug-11,20514.02857,21045.85714
Week 1,19-Aug-11,20586.75714,20967.25714
